Heure,Temperature (°C),Pression (hPa),Humidité (%),Vitesse du vent (m/s)
00:00:00,16.47,990.77,55.74,10.28
00:10:00,27.11,1004.87,54.68,1.65
00:20:00,20.46,991.37,75.6,7.91
00:30:00,17.47,1019.25,41.75,3.97
00:40:00,22.49,1010.51,69.01,12.4
00:50:00,24.21,1014.13,52.54,3.58
01:00:00,16.78,992.91,43.56,4.22
01:10:00,15.86,1022.01,65.49,1.99
01:20:00,24.24,1019.22,42.75,14.02
01:30:00,25.45,1004.86,46.22,8.68
01:40:00,15.45,1014.09,54.62,0.83
01:50:00,25.62,1019.34,45.09,14.26
02:00:00,28.61,1021.82,40.72,12.7
02:10:00,16.81,1021.25,41.14,7.47
02:20:00,24.0,994.79,50.47,4.88
02:30:00,17.08,1006.84,32.3,0.52
02:40:00,23.63,1011.73,72.36,8.05
02:50:00,17.01,1016.58,71.91,11.69
03:00:00,15.46,1020.03,67.27,0.89
03:10:00,27.41,999.17,60.55,11.3
03:20:00,17.94,1016.24,40.56,4.01
03:30:00,16.76,1022.67,77.57,5.22
03:40:00,25.36,996.46,48.96,6.91
03:50:00,29.24,1013.02,69.61,6.5
04:00:00,26.79,1006.87,68.8,1.37
04:10:00,21.4,1008.83,76.71,14.63
04:20:00,20.32,1022.13,50.72,1.66
04:30:00,19.41,1017.48,73.58,5.18
04:40:00,22.87,1017.85,49.56,0.2
04:50:00,16.69,997.05,49.77,7.15
05:00:00,19.53,1003.91,67.15,14.0
05:10:00,28.78,1007.81,42.96,5.86
05:20:00,16.62,1023.12,47.48,7.64
05:30:00,25.38,995.24,78.33,8.01
05:40:00,21.97,1020.85,72.18,12.73
05:50:00,16.88,1021.53,78.85,5.44
06:00:00,28.2,999.67,69.38,2.22
06:10:00,20.6,995.91,32.06,0.59
06:20:00,21.18,1005.66,71.37,8.41
06:30:00,25.5,1009.19,75.12,3.61
06:40:00,16.4,1004.24,47.03,2.78
06:50:00,26.7,1018.29,58.01,8.57
07:00:00,21.13,1013.13,75.6,5.49
07:10:00,26.74,1007.03,40.06,7.9
07:20:00,20.73,1009.55,54.69,1.85
07:30:00,19.11,1016.66,68.7,4.75
07:40:00,27.52,999.29,74.7,0.56
07:50:00,19.46,997.77,62.21,7.54
08:00:00,18.81,1003.1,41.81,12.04
08:10:00,18.14,1018.38,59.34,12.72
08:20:00,15.54,1006.48,66.45,14.37
08:30:00,18.7,990.12,35.46,5.45
08:40:00,17.76,1000.09,56.87,0.29
08:50:00,28.66,1006.85,31.12,6.47
09:00:00,16.95,1011.8,45.85,3.57
09:10:00,20.49,1020.22,32.11,13.64
09:20:00,20.41,1006.62,30.3,5.8
09:30:00,20.51,1003.14,63.4,0.72
09:40:00,15.23,1020.94,44.83,2.86
09:50:00,16.87,1003.35,44.8,14.92
10:00:00,26.15,1018.5,54.42,0.97
10:10:00,26.6,1005.15,30.95,9.36
10:20:00,21.61,1015.5,68.36,6.96
10:30:00,29.8,1006.85,53.07,3.94
10:40:00,16.03,1015.78,36.25,13.75
10:50:00,27.82,1012.46,41.95,6.08
11:00:00,20.68,1000.03,67.88,4.85
11:10:00,29.62,996.09,45.23,8.74
11:20:00,16.93,1004.91,63.76,11.23
11:30:00,24.67,1014.15,58.41,11.7
11:40:00,29.75,1008.45,52.88,7.96
11:50:00,22.29,1022.11,39.51,3.33
12:00:00,17.29,1003.78,56.35,13.1
12:10:00,25.34,1021.42,35.01,6.94
12:20:00,18.56,1016.43,66.95,14.42
12:30:00,25.32,1000.79,77.34,7.73
12:40:00,21.67,1019.51,70.84,13.39
12:50:00,16.27,1010.84,52.19,14.36
13:00:00,16.79,1019.09,60.07,6.61
13:10:00,15.05,1011.35,47.52,11.56
13:20:00,24.51,997.54,55.35,13.28
13:30:00,15.03,1024.23,76.07,4.13
13:40:00,15.15,1015.5,46.51,1.56
13:50:00,29.34,995.63,61.16,13.44
14:00:00,15.45,1004.85,40.99,2.29
14:10:00,24.66,997.5,71.22,12.53
14:20:00,28.01,1000.67,59.65,0.03
14:30:00,15.3,1014.63,54.84,7.3
14:40:00,16.89,1006.53,45.52,6.09
14:50:00,29.31,995.15,61.36,3.59
15:00:00,19.99,993.24,54.75,5.07
15:10:00,25.65,1012.67,44.55,8.98
15:20:00,29.83,1009.9,49.72,11.61
15:30:00,15.37,1007.69,78.17,13.56
15:40:00,27.11,997.62,48.94,4.68
